months	New_Cases_Noti	New_Cases_Conf
2013-12-01	26	5
2014-01-01	1029	571
2014-02-01	2050	1343
2014-03-01	2060	1210
2014-04-01	3766	2245
2014-05-01	4103	2714
2014-06-01	2200	1552
2014-07-01	1353	1020
2014-08-01	446	310
2014-09-01	186	88
2014-10-01	172	32
2014-11-01	215	42
2014-12-01	204	78
2015-01-01	378	228
2015-02-01	660	428
2015-03-01	1350	821
2015-04-01	2557	1889
2015-05-01	2525	1936
2015-06-01	1659	1389
2015-07-01	591	438
2015-08-01	265	162
2015-09-01	100	57
2015-10-01	120	82
2015-11-01	266	208
2015-12-01	541	320
2016-01-01	1881	1353
2016-02-01	4572	3070
2016-03-01	5325	3854
2016-04-01	3629	2632
2016-05-01	2296	1456
2016-06-01	1099	638
2016-07-01	471	246
2016-08-01	234	102
2016-09-01	153	60
2016-10-01	170	43
2016-11-01	209	35
2016-12-01	282	67
2017-01-01	408	168
2017-02-01	469	201
2017-03-01	919	426
2017-04-01	932	499
2017-05-01	1266	738
2017-06-01	1101	631
2017-07-01	303	165
2017-08-01	221	96
2017-09-01	220	73
2017-10-01	221	67
2017-11-01	200	68
2017-12-01	232	66
2018-01-01	342	131
2018-02-01	300	108
2018-03-01	458	106
2018-04-01	608	138
2018-05-01	445	165
2018-06-01	305	111
2018-07-01	225	75
2018-08-01	162	42
2018-09-01	199	42
2018-10-01	256	65
2018-11-01	320	144
2018-12-01	521	259
2019-01-01	969	504
2019-02-01	2462	1360
2019-03-01	5086	3018
2019-04-01	8224	5147
2019-05-01	12776	8474
2019-06-01	10287	6813
2019-07-01	2437	1468
2019-08-01	851	499
2019-09-01	659	360
2019-10-01	856	415
2019-11-01	773	442
2019-12-01	779	486
2021-01-01	1469	723
2021-02-01	1971	1084
2021-03-01	2917	1781
2021-04-01	3565	2446
2021-05-01	4177	2774
2021-06-01	3338	2031
2021-07-01	1594	891
2021-08-01	909	492
2021-09-01	782	450
2021-10-01	647	389
2021-11-01	1015	596
2021-12-01	2957	1685
2022-01-01	3231	2716
2022-02-01	5962	4857
2022-03-01	12297	9889
2022-04-01	17613	13851
2022-05-01	14388	11618
2022-06-01	6198	5409
2022-07-01	2509	2332
2022-08-01	1857	1637
2022-09-01	2020	1700
2022-10-01	1910	1661
2022-11-01	1710	1467
2022-12-01	3001	2285
2023-01-01	2803	2359
2023-02-01	3378	2567
2023-03-01	4437	3252
2023-04-01	4272	3132
2023-05-01	4270	2967
2023-06-01	2794	1936
2023-07-01	1765	1199
2023-08-01	1920	1232
2023-09-01	1707	1010
2023-10-01	1427	829
2023-11-01	2508	1553
2023-12-01	10886	6721
2024-01-01	48151	33394
2024-02-01	88716	61932
2024-03-01	72659	50295
2024-04-01	39038	27167
2024-05-01	16657	12873
2024-06-01	5003	3701
2024-07-01	2122	1626
2024-08-01	1940	1545
2024-09-01	984	676
2024-10-01	1014	521
2024-11-01	1750	698
2024-12-01	1662	691
2025-01-01	2057	505
2025-02-01	43	2
