week	2014	2015	2016	2017	2018	2019	2021	2022	2023	2024	2025	median	Q1	Q3	sum	CI
1	1051	7784	26936	2757	1685	5660	1908	5275	5228	21421	9101	5275	2757	8771.75	94081	44.25596970605702
2	3045	10676	31647	3147	2419	9032	4271	8589	9982	44064	20328	9032	4271	17915	156232	73.49197669153922
3	3644	16045	36754	3893	3253	10876	5082	9643	12146	62688	21561	10876	5082	20182	196461	92.41581259150806
4	4575	23316	42723	4713	3552	13943	6488	10721	15100	91650	19281	13943	6488	22307.25	250005	117.60306232249643
5	6044	29000	49989	5537	4086	18991	7368	12285	18502	122778	11816	12285	7368	26497.75	298681	140.50039102236178
6	7064	35444	45048	4970	4134	21650	8841	14736	24287	163331	NA	18193	8396.75	35444	347698	163.55812709108764
7	8832	31157	67894	5729	3040	25294	10182	17091	29644	171403	NA	21192.5	9844.5	31157	391458.5	184.14319062487138
8	10522	48028	72727	5478	4654	28980	12164	19635	26585	250063	NA	23110	11753.5	48028	501946	236.11682454562026
9	10373	57219	70706	4129	4839	29200	13430	21444	37248	274027	NA	25322	12665.75	57219	547937	257.7511216167746
10	8164	68854	66094	6100	5392	27820	13918	35806	46965	302724	NA	31813	12479.5	66094	613650	288.6627035227293
11	11755	76632	63332	6329	6058	37283	14173	46464	54190	322012	NA	41873.5	13568.5	63332	680101.5	319.9216779269347
12	13988	80682	51578	6330	6234	45386	16167	56466	65478	362871	NA	48482	15622.25	65478	753662	354.5247461294666
13	18049	63610	61387	6515	5152	54232	16459	68864	78137	337711	NA	57809.5	17651.5	68864	767925.5	361.2343370553958
14	21183	77372	56713	6464	7533	60726	24158	78118	71653	358131	NA	58719.5	23414.25	77372	820770.5	386.0927752003622
15	26054	82866	54348	5401	8666	66207	23207	73159	89916	377511	NA	60277.5	25342.25	82866	867612.5	408.1273850894059
16	25990	71191	43058	6202	8702	63122	21956	85585	78296	351290	NA	53090	24981.5	78296	808482	380.31222988586853
17	31085	70013	42489	6750	8068	82872	22974	95414	80877	331267	NA	56251	29057.25	82872	828060	389.52177671153134
18	26771	71203	33432	5792	6681	79903	20588	88936	69724	285277	NA	51578	25225.25	79903	739885	348.04400618579734
19	27235	57774	22934	5753	7675	86796	18075	85421	71092	297199	NA	42504.5	21719.25	85421	722458.5	339.8465310730477
20	23115	44346	19117	5537	7699	86142	15939	62657	63102	281110	NA	33730.5	18322.5	63102	642494.5	302.23123827667916
21	20721	35068	12422	4946	6209	77975	13281	49428	46477	225663	NA	27894.5	13066.25	49428	520084.5	244.64922648132796
22	16966	22727	11324	4653	4217	64435	10860	36271	33106	136848	NA	19846.5	11208	36271	361253.5	169.93467280542373
23	13367	23723	8936	4181	4746	47521	11887	32259	24990	107250	NA	18545	11149.25	32259	297405	139.90015699694825
24	9756	19072	6489	3119	4137	39149	9914	21687	23134	82085	NA	14493	8939.25	23134	233035	109.62032610676968
25	7447	14431	5076	3176	3743	26359	8354	21406	17462	69780	NA	11392.5	6854.25	21406	188626.5	88.73044153186686
26	7363	11342	4296	2819	3212	25804	6942	17221	12406	54047	NA	9352.5	6280.5	17221	154804.5	72.82047663567887
27	5477	8036	3826	2186	2442	19347	6306	14857	10522	36203	NA	7171	5064.25	14857	116373	54.742189842826654
28	4445	6841	3228	1834	2488	13866	5945	12449	9036	25059	NA	6393	4140.75	12449	91584	43.08137381149782
29	4237	6280	2853	1530	2275	11126	5233	10869	7123	19930	NA	5756.5	3891	10869	77212.5	36.32097937871545
30	3715	5652	2480	1418	2060	9288	4600	9728	6000	16870	NA	5126	3406.25	9288	66937	31.4873549836241
31	3200	5003	2122	1421	1933	7913	3884	9173	5763	14522	NA	4443.5	2930.5	7913	59377.5	27.93134470532202
32	2763	4318	1899	1248	1885	6642	3602	7823	5281	13313	NA	3960	2547	6642	52734	24.806223429589515
33	2560	4327	1911	1172	1658	6185	3520	6659	4769	10526	NA	3923.5	2397.75	6185	47210.5	22.20795333603815
34	2568	3568	1860	1158	1712	5427	3263	6033	4599	9451	NA	3415.5	2391	5427	43054.5	20.25295912787313
35	2747	3841	1571	1272	1596	5109	2676	5425	4091	8089	NA	3294	2406	5109	39711	18.68016722821006
36	2762	3199	1204	854	1172	4039	2255	4387	3292	7315	NA	2980.5	1992.25	4039	33459.5	15.739443866240952
37	3336	3597	1352	1137	1237	3969	2471	4932	4120	7310	NA	3466.5	2191.25	4120	36927.5	17.370800919637556
38	3438	3523	1436	1040	1299	3973	2390	4765	4052	6518	NA	3480.5	2151.5	4052	35914.5	16.894282841468364
39	3575	3207	1392	1125	1351	3710	2450	4204	3832	6660	NA	3391	2185.5	3832	34897	16.415647950513623
40	3668	3422	1139	1104	1340	3778	1990	4118	4101	6016	NA	3545	1827.5	4101	34221	16.097655629840006
41	3449	3117	1217	945	1225	3388	1786	3519	3437	5553	NA	3252.5	1645.75	3449	30888.5	14.530038161430495
42	3417	3801	1440	1251	1526	3548	2065	4047	4407	5665	NA	3482.5	1930.25	4047	34649.5	16.299223247308415
43	3477	3966	1300	1236	1603	3210	2205	3784	4536	6104	NA	3343.5	2054.5	3966	34764.5	16.35331957405023
44	2937	4353	1333	960	1594	3405	2215	3230	4003	6017	NA	3083.5	2059.75	4003	33130.5	15.584681331475242
45	3091	5867	1576	1194	2119	4039	2587	4419	6138	6614	NA	3565	2470	5867	41209	19.384830684377334
46	3150	7010	1560	1242	1921	3922	2849	4147	5896	6304	NA	3536	2617	5896	41537	19.53912281630181
47	3241	7756	1920	1319	2662	4687	3866	5116	7646	8019	NA	4276.5	3096.25	7646	50508.5	23.759341906425117
48	3408	9859	2092	1210	3044	5429	4993	5198	9764	9358	NA	5095.5	3317	9358	59450.5	27.96568411273204
49	3322	11428	2238	1308	3630	5843	6478	5133	10731	9984	NA	5488	3553	9984	65583	30.8504295365944
50	3368	14135	2012	1401	4265	6571	8215	6120	14897	11739	NA	6345.5	4040.75	11739	79068.5	37.1940470520442
51	3376	10467	1777	1404	4660	7496	7483	5814	16946	12769	NA	6648.5	4339	10467	78840.5	37.08679520424303
52	2422	13007	1970	1193	4041	6260	7783	5703	19094	10053	NA	5981.5	3636.25	10053	77507.5	36.45974821687923
