years	Race_Colour	New_Cases	TotalAno	Percentual
2013	Branca	2	7	28.57142857142857
2013	Parda	5	7	71.42857142857143
2014	Amarela	20	5174	0.3865481252415926
2014	Branca	1291	5174	24.9516814843448
2014	Parda	3565	5174	68.90220332431389
2014	Preta	298	5174	5.759567066099729
2015	Amarela	32	2604	1.228878648233487
2015	Branca	851	2604	32.6804915514593
2015	Parda	1558	2604	59.8310291858679
2015	Preta	163	2604	6.259600614439324
2016	Amarela	68	6373	1.0670014122077516
2016	Branca	1817	6373	28.510905382080654
2016	Parda	4053	6373	63.59642240702965
2016	Preta	435	6373	6.825670798681939
2017	Amarela	18	2269	0.7933010136624064
2017	Branca	650	2269	28.646981048920228
2017	Parda	1470	2269	64.78624944909652
2017	Preta	131	2269	5.773468488320846
2018	Amarela	32	1842	1.737242128121607
2018	Branca	444	1842	24.104234527687296
2018	Parda	1268	1842	68.83821932681867
2018	Preta	98	1842	5.320304017372422
2019	Amarela	369	26297	1.4032018861467088
2019	Branca	7119	26297	27.071529071757233
2019	Parda	16288	26297	61.938624177662845
2019	Preta	2521	26297	9.586644864433206
2021	Amarela	225	12314	1.8271885658599967
2021	Branca	1835	12314	14.901737859347083
2021	Parda	9539	12314	77.46467435439337
2021	Preta	715	12314	5.806399220399546
2022	Amarela	771	40687	1.8949541622631307
2022	Branca	7835	40687	19.256765060092903
2022	Parda	29962	40687	73.64022906579497
2022	Preta	2119	40687	5.208051711848993
2023	Amarela	469	33372	1.405369771065564
2023	Branca	4956	33372	14.850773103200288
2023	Parda	26583	33372	79.65659834591874
2023	Preta	1364	33372	4.087258779815414
2024	Amarela	3482	193076	1.8034349168203196
2024	Branca	40499	193076	20.975677971368786
2024	Parda	135530	193076	70.19515631150428
2024	Preta	13565	193076	7.025730800306615
2025	Amarela	22	1474	1.4925373134328357
2025	Branca	236	1474	16.010854816824967
2025	Parda	1140	1474	77.34056987788331
2025	Preta	76	1474	5.156037991858888
